2.66856 2.68 2.69139 2.70274 2.71404 2.72529 2.73649 2.74765 2.75877 2.76984 2.78086 2.79185 2.80278 2.81368 2.82454 2.83535 2.84612 2.85685 2.86754 2.87819 2.88881 2.89938 2.90991 2.92041 2.93087 2.94129 2.95168 2.96203 2.97234 2.98262 2.99286 3.00307 3.01324 3.02338 3.03348 3.04355 3.05359 3.06359 3.07356 3.0835 3.09341 3.10329 3.11313 3.12295 3.13273 3.14248 3.15221 3.1619 3.17156 3.18119 
2.68 2.69162 2.70318 2.7147 2.72617 2.73759 2.74896 2.76029 2.77157 2.7828 2.79399 2.80514 2.81624 2.8273 2.83831 2.84928 2.86021 2.8711 2.88194 2.89275 2.90352 2.91424 2.92493 2.93557 2.94618 2.95675 2.96729 2.97778 2.98824 2.99867 3.00905 3.0194 3.02972 3.04 3.05025 3.06046 3.07064 3.08078 3.09089 3.10097 3.11101 3.12103 3.13101 3.14096 3.15087 3.16076 3.17062 3.18044 3.19024 3.2 
2.69139 2.70318 2.71492 2.72661 2.73825 2.74984 2.76138 2.77287 2.78431 2.79571 2.80706 2.81837 2.82963 2.84084 2.85202 2.86315 2.87423 2.88527 2.89627 2.90723 2.91815 2.92903 2.93986 2.95066 2.96142 2.97214 2.98282 2.99346 3.00406 3.01463 3.02516 3.03565 3.04611 3.05653 3.06692 3.07727 3.08759 3.09787 3.10812 3.11833 3.12851 3.13866 3.14878 3.15886 3.16891 3.17893 3.18892 3.19887 3.2088 3.2187 
2.70274 2.7147 2.72661 2.73847 2.75027 2.76203 2.77373 2.78539 2.797 2.80856 2.82007 2.83154 2.84296 2.85433 2.86566 2.87694 2.88818 2.89938 2.91053 2.92164 2.93271 2.94374 2.95473 2.96567 2.97658 2.98744 2.99827 3.00905 3.0198 3.03051 3.04118 3.05182 3.06242 3.07298 3.0835 3.09399 3.10445 3.11487 3.12525 3.1356 3.14592 3.1562 3.16645 3.17666 3.18685 3.197 3.20712 3.2172 3.22726 3.23728 
2.71404 2.72617 2.73825 2.75027 2.76225 2.77417 2.78604 2.79786 2.80963 2.82135 2.83302 2.84464 2.85622 2.86775 2.87924 2.89067 2.90207 2.91342 2.92472 2.93598 2.9472 2.95838 2.96951 2.9806 2.99166 3.00267 3.01364 3.02457 3.03546 3.04631 3.05712 3.0679 3.07864 3.08934 3.1 3.11063 3.12122 3.13177 3.14229 3.15278 3.16323 3.17364 3.18402 3.19437 3.20468 3.21497 3.22521 3.23543 3.24561 3.25576 
2.72529 2.73759 2.74984 2.76203 2.77417 2.78625 2.79829 2.81027 2.8222 2.83408 2.84591 2.85769 2.86943 2.88111 2.89275 2.90434 2.91589 2.92739 2.93884 2.95025 2.96162 2.97294 2.98423 2.99546 3.00666 3.01781 3.02893 3.04 3.05103 3.06203 3.07298 3.08389 3.09477 3.10561 3.11641 3.12717 3.1379 3.14859 3.15924 3.16986 3.18044 3.19099 3.2015 3.21198 3.22242 3.23283 3.24321 3.25355 3.26386 3.27414 
2.73649 2.74896 2.76138 2.77373 2.78604 2.79829 2.81048 2.82262 2.83471 2.84675 2.85874 2.87068 2.88257 2.89441 2.9062 2.91794 2.92964 2.94129 2.9529 2.96446 2.97597 2.98744 2.99887 3.01025 3.02159 3.03289 3.04414 3.05536 3.06653 3.07766 3.08875 3.09981 3.11082 3.12179 3.13273 3.14363 3.15449 3.16531 3.1761 3.18685 3.19756 3.20824 3.21888 3.22949 3.24006 3.2506 3.2611 3.27157 3.28201 3.29242 
2.74765 2.76029 2.77287 2.78539 2.79786 2.81027 2.82262 2.83493 2.84717 2.85937 2.87152 2.88361 2.89565 2.90765 2.91959 2.93148 2.94333 2.95513 2.96688 2.97859 2.99025 3.00187 3.01344 3.02496 3.03645 3.04788 3.05928 3.07064 3.08195 3.09322 3.10445 3.11564 3.12679 3.1379 3.14897 3.16 3.17099 3.18195 3.19287 3.20375 3.21459 3.2254 3.23617 3.24691 3.25761 3.26827 3.2789 3.2895 3.30006 3.31059 
2.75877 2.77157 2.78431 2.797 2.80963 2.8222 2.83471 2.84717 2.85958 2.87193 2.88423 2.89648 2.90868 2.92082 2.93292 2.94496 2.95696 2.96891 2.98081 2.99266 3.00446 3.01622 3.02794 3.03961 3.05123 3.06281 3.07435 3.08584 3.09729 3.1087 3.12006 3.13139 3.14267 3.15392 3.16512 3.17629 3.18741 3.1985 3.20955 3.22056 3.23153 3.24247 3.25337 3.26423 3.27506 3.28585 3.2966 3.30733 3.31801 3.32866 
2.76984 2.7828 2.79571 2.80856 2.82135 2.83408 2.84675 2.85937 2.87193 2.88444 2.89689 2.9093 2.92164 2.93394 2.94618 2.95838 2.97052 2.98262 2.99466 3.00666 3.01861 3.03051 3.04237 3.05418 3.06594 3.07766 3.08934 3.10097 3.11256 3.1241 3.1356 3.14706 3.15848 3.16986 3.18119 3.19249 3.20375 3.21497 3.22614 3.23728 3.24838 3.25945 3.27047 3.28146 3.29242 3.30333 3.31421 3.32506 3.33587 3.34664 
